columna,tipo,n_unicos,n_nulos
id,float64,5000,0
fecha_fin,str,81,0
region,str,16,0
comuna,float64,90,0
zona,str,2,0
parentesco_jh,float64,12,0
educ_jh,str,11,0
ocupacion_jh,str,6,0
a12_11,float64,2,0
a12_2,float64,1,0
a12_3,float64,2,0
a12_4,float64,2,0
a12_5,float64,2,0
a12_6,float64,2,0
a12_7,float64,2,0
a12_8,float64,2,0
a12_9,float64,2,0
a12_10,float64,1,0
a12_111,float64,2,0
a12_12,float64,2,0
a12_13,float64,2,0
a13_1,float64,2,0
a13_2,float64,2,0
a13_3,float64,2,0
a13_4,float64,2,0
a13_5,float64,2,0
a13_6,float64,2,0
a13_7,float64,2,0
a14_1,float64,2,0
a14_2,float64,2,0
a14_3,float64,2,0
a14_4,float64,2,0
a14_5,float64,2,0
a14_6,float64,2,0
a14_7,float64,2,0
a14_8,float64,2,0
a14_otra,str,36,0
acceso_internet_hogar,str,2,0
n_smartphones_hogar,float64,20,159
n_computadores_hogar,float64,12,159
p3_1,float64,3,159
p3_2,float64,3,159
p3_3,float64,3,159
p3_4,float64,2,159
p3_5,float64,3,159
p3_6,float64,3,159
p3_7,float64,3,159
p3_8,float64,3,159
p3_8_otra,str,26,0
p4_1,float64,2,0
p4_2,float64,2,0
p4_3,float64,2,0
p4_4,float64,2,0
p4_5,float64,2,0
p5_1,float64,34,1703
p5_otra_1,str,138,0
p5_2,float64,8,4870
p5_otra_2,str,3,0
p5_3_1,float64,2,711
p5_3_2,float64,2,711
p5_3_3,float64,2,711
p5_3_4,float64,2,711
p5_3_5,float64,2,711
p5_3_6,float64,2,711
p5_3_7,float64,1,711
p5_3_8,float64,2,711
p5_3_9,float64,2,711
p5_otra_3,str,26,0
p5_4,float64,8,4929
p5_otra_44,str,23,0
p6_1,float64,2,1645
p6_2,float64,2,1645
p6_3,float64,2,1645
p6_4,float64,2,1645
p6_5,float64,2,1645
p6_6,float64,2,1645
p6_7,float64,2,1645
p6_8,float64,2,1645
p6_9,float64,2,1645
p6_10,float64,2,1645
p6_11,float64,2,1645
p6_12,float64,2,1645
p6_13,float64,2,1645
p6_1_1,float64,2,657
p6_1_2,float64,2,657
p6_1_3,float64,2,657
p6_1_4,float64,2,657
p6_1_5,float64,2,657
p6_1_6,float64,2,657
p6_1_7,float64,2,657
p6_1_8,float64,2,657
p6_1_9,float64,2,657
p6_1_10,float64,2,657
p6_1_11,float64,2,657
p6_1_12,float64,2,657
p6_1_13,float64,2,657
p7_1,float64,2,3548
p7_2,float64,2,3548
p7_3,float64,2,3548
p7_4,float64,2,3548
p7_5,float64,2,3548
p7_6,float64,2,3548
p7_7,float64,2,3548
p7_8,float64,2,3548
p7_9,float64,2,3548
p7_10,float64,2,3548
p7_11,float64,2,3548
p7_12,float64,2,3548
p8_1,float64,2,3548
p8_2,float64,2,3548
p8_3_1,float64,2,3548
p8_3_2,float64,2,3548
p8_3_3,float64,2,3548
p8_3_4,float64,2,3548
p8_3_5,float64,2,3548
p9_1,float64,2,3548
p9_2,float64,2,3548
p9_3,float64,2,3548
p9_4,float64,2,3548
tipo_acceso_fijo,str,10,1645
p10_otra,str,10,0
tipo_plan,str,5,1720
pago_mensual_internet,float64,232,1720
velocidad_contratada,str,6,1720
calidad_acceso,float64,3,1720
cuota_mensual_gb,float64,3,1720
p12_11,float64,2,657
p12_21,float64,2,657
p12_31,float64,2,657
p12_41,float64,2,657
plan_movil_tipo,float64,2,657
p13_1,float64,2,3355
p13_2,float64,2,3355
p13_3,float64,2,3355
p13_4,float64,2,3355
p13_5,float64,2,3355
p13_6,float64,2,3355
p13_7,float64,2,3355
p13_8,float64,2,3355
p13_9,float64,2,3355
p13_10,float64,2,3355
p13_11,float64,2,3355
p13_12,float64,2,3355
p13_13,float64,2,3355
p13_14,float64,2,3355
p13_15,float64,2,3355
p13_16,float64,2,3355
p13_17,float64,2,3355
p13_18,float64,2,3355
p13_19,float64,2,3355
p13_20,float64,2,3355
p13_98,float64,2,3355
p13_51,float64,2,3355
p13_52,float64,2,3355
p13_53,float64,2,3355
p13_54,float64,2,3355
p13_55,float64,2,3355
p13_59,float64,2,3355
p13_60,float64,2,3355
p13_61,float64,2,3355
p13_otra,str,173,0
razon_no_acceso_principal,float64,32,3355
disposicion_contratar_fijo,float64,5,3355
p16_1,float64,2,4972
p16_2,float64,2,4972
p16_3,float64,2,4972
p16_4,float64,2,4972
p16_5,float64,2,4972
p17_1,float64,5,4995
p17_2,float64,8,4989
p17_3,float64,2,4998
p17_4,float64,3,4996
p17_5,float64,11,4981
p19_1,float64,12,4928
p19_2,float64,14,4928
p19_3,float64,11,4928
p19_4,float64,12,4928
parentesco,float64,1,4997
edad,float64,79,0
sexo,str,2,0
educ,str,11,0
q1_3_1,float64,1,2000
ocupacion_encuestado,str,7,0
q1_4_1,float64,1,2000
q1_5_1,float64,2,0
q1_5_2,float64,1,0
q1_5_3,float64,2,0
q1_5_4,float64,2,0
q1_5_5,float64,2,0
q1_5_6,float64,2,0
q1_5_7,float64,2,0
q1_5_8,float64,2,0
q1_5_9,float64,1,0
q1_5_10,float64,1,0
q1_5_11,float64,2,0
q1_5_12,float64,2,0
q1_5_13,float64,2,0
q1_6_1,float64,2,0
q1_6_2,float64,2,0
q1_6_3,float64,2,0
q1_6_4,float64,2,0
q1_6_5,float64,2,0
q1_6_6,float64,2,0
q1_6_7,float64,2,0
actividad,str,0,5000
uso_computador,str,2,0
q6_11,float64,2,0
q6_2,float64,2,0
q6_3,float64,2,0
q6_4,float64,2,0
q6_5,float64,2,0
q6_6,float64,2,0
q6_7,float64,2,0
q6_8,float64,2,0
q6_9,float64,1,0
q6_10,float64,2,0
q6_111,float64,2,0
q6_12,float64,2,0
q6_otra,str,55,0
q6_1,float64,3,1280
uso_smartphone,str,2,0
smartphone_propio,float64,2,266
q7_2_1,float64,2,304
q7_2_2,float64,2,304
q7_2_3,float64,2,304
q7_2_4,float64,2,304
plan_movil_tipo_ind,float64,2,304
pago_mensual_movil,float64,295,304
q8_1,float64,2,242
q8_2,float64,2,242
q8_3,float64,2,242
q8_4,float64,2,242
q8_5,float64,2,242
q8_6,float64,2,242
q8_7,float64,2,242
q8_8,float64,2,242
q8_9,float64,2,242
q8_10,float64,2,242
q8_11,float64,2,242
q8_12,float64,2,242
q8_13,float64,2,242
q8_14,float64,2,242
q8_15,float64,2,242
q8_16,float64,2,242
q8_17,float64,2,242
q8_18,float64,2,242
q8_19,float64,2,242
ultimo_uso_internet,str,7,0
frecuencia_internet,str,4,269
tiempo_diario_internet,str,4,801
q11_1_1,float64,2,269
q11_1_2,float64,2,269
q11_1_3,float64,2,269
q11_1_4,float64,2,269
q11_1_5,float64,2,269
q11_1_6,float64,2,269
q11_1_7,float64,2,269
q11_1_8,float64,2,269
q11_1_9,float64,2,269
q12_1,float64,2,269
q12_2,float64,2,269
q12_3,float64,2,269
q12_4,float64,2,269
q12_5,float64,2,269
tipo_acceso_mas_usado,str,4,2710
uso_internet_hogar,float64,2,269
frecuencia_internet_hogar,float64,4,524
tiempo_diario_hogar,float64,4,906
uso_internet_fuera_hogar,float64,2,269
frecuencia_fuera_hogar,float64,4,1805
tiempo_diario_fuera_hogar,float64,4,2841
q20_1,float64,2,1805
q20_2,float64,2,1805
q20_3,float64,2,1805
q20_4,float64,2,1805
q20_5,float64,2,1805
q20_6,float64,2,1805
q20_7,float64,2,1805
q20_8,float64,2,1805
q21_1,float64,2,269
q21_2,float64,2,269
q21_3,float64,2,269
q21_4,float64,2,269
q21_5,float64,2,269
q21_6,float64,2,269
q21_7,float64,2,269
q21_8,float64,2,269
q21_9,float64,2,269
q21_10,float64,2,269
q21_11,float64,2,269
q21_12,float64,2,269
q21_13,float64,2,269
q21_14,float64,2,269
q21_15,float64,2,269
q21_16,float64,2,269
q21_17,float64,2,269
q21_18,float64,2,269
q21_19,float64,2,269
q21_20,float64,2,269
q21_21,float64,2,269
q21_22,float64,2,269
q21_23,float64,2,269
q21_24,float64,2,269
q21_25,float64,2,269
q21_26,float64,2,269
q21_27,float64,2,269
q21_28,float64,2,269
q21_29,float64,2,269
q21_30,float64,2,269
q21_31,float64,2,269
q21_32,float64,2,269
q21_33,float64,2,269
q21_34,float64,2,269
q21_35,float64,2,269
q21_36,float64,2,269
q21_37,float64,2,269
q21_38,float64,2,269
q21_39,float64,2,269
q21_40,float64,2,269
q21_41,float64,2,269
q21_42,float64,2,269
q21_43,float64,2,269
q21_44,float64,2,269
q21_45,float64,2,269
q21_46,float64,2,269
q21_47,float64,2,269
q21_48,float64,2,269
internet_facilita_trabajo,str,2,269
q24,str,3164,0
q24_codif_1,float64,2,1645
q24_codif_2,float64,2,1645
q24_codif_3,float64,2,1645
q24_codif_4,float64,2,1645
q24_codif_5,float64,2,1645
q24_codif_6,float64,2,1645
q24_codif_7,float64,2,1645
q24_codif_8,float64,2,1645
q24_codif_9,float64,2,1645
q24_codif_10,float64,2,1645
q24_codif_11,float64,1,1645
q24_codif_12,float64,2,1645
q24_codif_13,float64,2,1645
q24_codif_14,float64,2,1645
q24_codif_15,float64,2,1645
q24_codif_16,float64,2,1645
q24_codif_17,float64,2,1645
q24_codif_18,float64,2,1645
q24_codif_19,float64,2,1645
q24_codif_20,float64,2,1645
q24_codif_21,float64,2,1645
q24_codif_22,float64,2,1645
q24_codif_23,float64,2,1645
q24_codif_24,float64,2,1645
q24_codif_25,float64,2,1645
q24_codif_26,float64,2,1645
q24_codif_27,float64,2,1645
q24_codif_28,float64,2,1645
q24_codif_29,float64,2,1645
q24_codif_30,float64,2,1645
q24_codif_31,float64,2,1645
q24_codif_32,float64,2,1645
q24_codif_33,float64,2,1645
q24_codif_34,float64,2,1645
q24_codif_35,float64,2,1645
q24_codif_36,float64,2,1645
q24_codif_37,float64,2,1645
q24_codif_38,float64,1,1645
q24_codif_39,float64,2,1645
q24_codif_40,float64,2,1645
q24_codif_41,float64,2,1645
q24_codif_42,float64,1,1645
q24_codif_43,float64,2,1645
q24_codif_44,float64,2,1645
q24_codif_45,float64,1,1645
q24_codif_46,float64,2,1645
q24_codif_47,float64,1,1645
q24_codif_48,float64,1,1645
q24_codif_49,float64,1,1645
q24_codif_50,float64,2,1645
q24_codif_51,float64,2,1645
q24_codif_52,float64,2,1645
q24_codif_53,float64,2,1645
q24_codif_54,float64,2,1645
q24_codif_55,float64,2,1645
internet_mejora_vida,str,2,3428
q26,str,1179,0
q26_codif_1,float64,2,3772
q26_codif_2,float64,2,3772
q26_codif_3,float64,2,3772
q26_codif_4,float64,2,3772
q26_codif_5,float64,1,3772
q26_codif_6,float64,2,3772
q26_codif_7,float64,1,3772
q26_codif_8,float64,2,3772
q26_codif_9,float64,2,3772
q26_codif_10,float64,2,3772
q26_codif_11,float64,2,3772
q26_codif_12,float64,2,3772
q26_codif_13,float64,2,3772
q26_codif_14,float64,2,3772
q26_codif_15,float64,2,3772
q26_codif_16,float64,2,3772
q26_codif_17,float64,2,3772
q26_codif_18,float64,2,3772
q26_codif_19,float64,2,3772
q26_codif_20,float64,2,3772
q26_codif_21,float64,2,3772
q26_codif_22,float64,2,3772
q26_codif_23,float64,2,3772
q26_codif_24,float64,2,3772
q26_codif_25,float64,2,3772
q26_codif_26,float64,2,3772
q26_codif_27,float64,2,3772
q26_codif_28,float64,2,3772
q26_codif_29,float64,1,3772
q26_codif_30,float64,2,3772
q26_codif_31,float64,2,3772
q26_codif_32,float64,2,3772
q26_codif_33,float64,2,3772
q26_codif_34,float64,2,3772
q26_codif_35,float64,2,3772
q26_codif_36,float64,2,3772
q26_codif_37,float64,2,3772
q26_codif_38,float64,1,3772
q26_codif_39,float64,2,3772
q26_codif_40,float64,2,3772
q26_codif_41,float64,2,3772
q26_codif_42,float64,2,3772
q26_codif_43,float64,2,3772
q26_codif_44,float64,2,3772
q26_codif_45,float64,2,3772
q26_codif_46,float64,1,3772
q26_codif_47,float64,1,3772
q26_codif_48,float64,1,3772
q26_codif_49,float64,2,3772
q26_codif_50,float64,2,3772
q26_codif_51,float64,2,3772
q26_codif_52,float64,2,3772
q26_codif_53,float64,2,3772
q26_codif_54,float64,2,3772
ultima_compra_online,float64,7,269
q28_1,float64,2,2387
q28_2,float64,2,2387
q28_3,float64,2,2387
q28_4,float64,2,2387
q28_5,float64,2,2387
q28_6,float64,2,2387
q28_7,float64,2,2387
q28_8,float64,2,2387
q28_9,float64,2,2387
q28_10,float64,2,2387
q28_11,float64,2,2387
q28_12,float64,2,2387
q28_13,float64,2,2387
q28_14,float64,2,2387
q28_15,float64,2,2387
q28_16,float64,2,2387
q28_17,float64,2,2387
q28_18,float64,2,2387
q28_19,float64,2,2387
q28_20,float64,2,2387
q28_21,float64,2,2387
q28_22,float64,2,2387
q28_23,float64,2,2387
q28_24,float64,2,2387
q28_25,float64,2,2387
q28_26,float64,2,2387
q28_27,float64,2,2387
q28_28,float64,2,2387
q28_29,float64,2,2387
q28_30,float64,2,2387
q28_31,float64,2,2387
q28_32,float64,2,2387
q28_33,float64,2,2387
q28_34,float64,2,2387
q28_35,float64,2,2387
q28_36,float64,2,2387
q28_otra,str,133,0
reg_control_legal,float64,3,269
reg_control_familia,float64,3,269
reg_autocontrol,float64,3,269
percepcion_proteccion,str,5,269
q32_1,float64,2,269
q32_2,float64,2,269
q32_3,float64,2,269
q32_4,float64,2,269
q32_5,float64,2,269
q32_6,float64,2,269
q32_7,float64,2,269
q32_8,float64,2,269
q32_9,float64,2,269
q32_10,float64,2,269
q32_11,float64,2,269
q32_12,float64,2,269
q32_13,float64,2,269
q32_14,float64,2,269
q32_15,float64,2,269
q32_16,float64,2,269
q32_17,float64,2,269
q32_18,float64,2,269
q32_19,float64,2,269
q32_otra,str,45,0
q33_1,float64,2,269
q33_2,float64,2,269
q33_3,float64,2,269
q33_4,float64,2,269
q33_5,float64,2,269
q33_6,float64,2,269
q33_7,float64,2,269
q33_8,float64,2,269
q33_9,float64,2,269
q33_10,float64,2,269
q33_11,float64,2,269
q33_12,float64,2,269
q33_otra,str,56,0
q34_1,float64,2,4731
q34_2,float64,2,4731
q34_3,float64,2,4731
q34_4,float64,2,4731
q34_5,float64,2,4731
q34_6,float64,2,4731
q34_7,float64,2,4731
q34_8,float64,2,4731
q34_9,float64,2,4731
q34_10,float64,2,4731
q34_11,float64,2,4731
q34_12,float64,2,4731
q34_13,float64,2,4731
q34_14,float64,2,4731
q34_15,float64,2,4731
q34_16,float64,2,4731
q34_17,float64,2,4731
q34_18,float64,2,4731
q34_19,float64,2,4731
q34_20,float64,2,4731
q34_21,float64,1,4731
q34_22,float64,2,4731
q34_otra,str,31,0
q35,float64,13,4969
q36,str,49,0
q36_codif_1,float64,2,4952
q36_codif_2,float64,2,4952
q36_codif_3,float64,2,4952
q36_codif_4,float64,2,4952
q36_codif_5,float64,2,4952
q36_codif_6,float64,2,4952
q36_codif_7,float64,2,4952
q36_codif_8,float64,1,4952
q36_codif_9,float64,2,4952
q36_codif_10,float64,2,4952
q36_codif_11,float64,2,4952
q36_codif_12,float64,2,4952
q36_codif_13,float64,2,4952
q36_codif_14,float64,1,4952
q36_codif_15,float64,1,4952
q36_codif_16,float64,1,4952
q36_codif_17,float64,1,4952
q37_1,float64,2,4731
q37_2,float64,2,4731
q37_3,float64,2,4731
q37_4,float64,2,4731
q37_5,float64,2,4731
q37_6,float64,2,4731
q37_7,float64,2,4731
q38_1,float64,3,4988
q38_2,float64,4,4989
q38_3,float64,3,4985
q38_4,float64,2,4998
q38_5,float64,6,4957
q38_6,float64,4,4989
q39_1,float64,1,4984
q39_2,float64,1,4984
q39_3,float64,1,4984
q39_4,float64,2,4984
q39_5,float64,2,4984
q40_1,float64,0,5000
q40_2,float64,0,5000
q40_3,float64,0,5000
q40_4,float64,1,4999
q40_5,float64,9,4985
q42,float64,122,0
q42_1,float64,140,0
ingreso_hogar,float64,62,0
pond_hogar,float64,47,0
fe_hogar,float64,47,0
pond_personas,float64,243,0
fe_personas,float64,243,0
gse,category,6,0
educ_grupo,str,3,0
tramo_edad,category,5,0
ingreso_pm,float64,59,782
ingreso_tramo,category,6,782
ingreso_grupo,str,3,782
